                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.56334,                0.36077,                0.89142,                0.99975,                      1,                  0.995,                 0.7527,                0.87117,                0.37451,                 1.0416,              0.0012872,              0.0012872,              0.0012872
                     38,                0.55046,                0.34495,                0.88563,                0.99951,                      1,                  0.995,                 0.7491,                 0.8907,                0.37375,                  1.049,              0.0012674,              0.0012674,              0.0012674
                     39,                0.56082,                0.35475,                0.88958,                0.99922,                      1,                  0.995,                0.74233,                0.92624,                0.37367,                 1.0741,              0.0012476,              0.0012476,              0.0012476
                     40,                0.55862,                0.35147,                0.89019,                0.99974,                      1,                  0.995,                 0.7593,                0.87762,                0.36161,                 1.0419,              0.0012278,              0.0012278,              0.0012278
                     41,                0.55647,                0.35359,                 0.8906,                0.99978,                      1,                  0.995,                 0.7734,                 0.8443,                0.35194,                 1.0282,               0.001208,               0.001208,               0.001208
                     42,                0.53979,                 0.3435,                0.88435,                0.99976,                      1,                  0.995,                0.75573,                0.86382,                0.35809,                 1.0419,              0.0011882,              0.0011882,              0.0011882
                     43,                0.56184,                 0.3541,                0.89367,                0.99977,                      1,                  0.995,                0.76836,                0.84923,                0.35818,                 1.0192,              0.0011684,              0.0011684,              0.0011684
                     44,                0.54672,                0.34533,                0.88599,                0.99977,                      1,                  0.995,                0.74128,                0.93379,                0.38047,                 1.0727,              0.0011486,              0.0011486,              0.0011486
                     45,                0.55385,                 0.3415,                0.88387,                0.99977,                      1,                  0.995,                0.76966,                0.86376,                0.35663,                 1.0291,              0.0011288,              0.0011288,              0.0011288
                     46,                0.53475,                0.33735,                 0.8842,                0.99981,                      1,                  0.995,                0.76735,                 0.8655,                0.35683,                 1.0374,               0.001109,               0.001109,               0.001109
                     47,                0.54525,                0.33938,                0.88832,                0.99978,                      1,                  0.995,                0.75653,                0.85962,                 0.3628,                 1.0414,              0.0010892,              0.0010892,              0.0010892
                     48,                0.52848,                0.33779,                0.88121,                0.99977,                      1,                  0.995,                0.75585,                0.85787,                0.36147,                 1.0345,              0.0010694,              0.0010694,              0.0010694
                     49,                0.53171,                0.33376,                 0.8857,                0.99977,                      1,                  0.995,                0.76169,                0.85971,                0.34544,                 1.0304,              0.0010496,              0.0010496,              0.0010496
                     50,                0.52586,                0.32414,                0.87955,                 0.9998,                      1,                  0.995,                0.76402,                0.86211,                0.36791,                 1.0424,              0.0010298,              0.0010298,              0.0010298
